drug_chembl_id,drug_name,target_chembl_id,target_name,mechanism,action_type
CHEMBL19,,CHEMBL2326,,Carbonic anhydrase VII inhibitor,INHIBITOR
CHEMBL1201117,,CHEMBL261,,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL1200814,,CHEMBL261,,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL17,,CHEMBL261,,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL20,,CHEMBL261,,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL19,,CHEMBL261,,Carbonic anhydrase I inhibitor,INHIBITOR
CHEMBL1450,,CHEMBL1777,,Cytochrome b inhibitor,INHIBITOR
CHEMBL1200771,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1722209,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1240,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200906,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1724,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1626570,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200880,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200479,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1768,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL1578,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL2146146,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL517712,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200604,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200803,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200935,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL551466,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200764,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL3545181,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1201765,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200473,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1184,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL14,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL550,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL1200330,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL2218917,,CHEMBL245,,Muscarinic acetylcholine receptor M3 agonist,AGONIST
CHEMBL1200950,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL2134724,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1354199,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1231,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1133,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200891,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1201027,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL1200347,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL3084748,,CHEMBL245,,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST
CHEMBL3989514,,CHEMBL1781,,DNA topoisomerase I inhibitor,INHIBITOR
