gene_name,organism,uniprot_id,protein_name,has_structure
murA,Staphylococcus aureus,A0A2L0P0N5,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,False
murB,Staphylococcus aureus,P61431,UDP-N-acetylenolpyruvoylglucosamine reductase,False
murC,Staphylococcus aureus,O31211,UDP-N-acetylmuramate--L-alanine ligase,False
murD,Staphylococcus aureus,P0A091,UDP-N-acetylmuramoylalanine--D-glutamate ligase,False
murE,Staphylococcus aureus,A0AAN1ZNV0,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase,False
murF,Staphylococcus aureus,K7XML5,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,False
ftsZ,Staphylococcus aureus,B5LV61,Cell division protein FtsZ,False
ftsA,Staphylococcus aureus,A0A6G4N246,Cell division protein FtsA,False
ftsW,Staphylococcus aureus,A0A380E0F5,Probable peptidoglycan glycosyltransferase FtsW,False
dnaA,Staphylococcus aureus,P68867,Chromosomal replication initiator protein DnaA,False
dnaB,Staphylococcus aureus,A0AB37XUJ3,Replicative DNA helicase,False
dnaE,Staphylococcus aureus,A0AAJ4YVG6,DNA polymerase III subunit alpha,False
dnaN,Staphylococcus aureus,P0A024,Beta sliding clamp,False
gyrA,Staphylococcus aureus,P20831,DNA gyrase subunit A,False
gyrB,Staphylococcus aureus,A0A222UAJ8,DNA topoisomerase (ATP-hydrolyzing),False
rpoB,Staphylococcus aureus,A0A0N9LFB6,DNA-directed RNA polymerase,False
rpoC,Staphylococcus aureus,P95688,DNA-directed RNA polymerase subunit,False
infA,Staphylococcus aureus,A0A6B0CP17,Translation initiation factor IF-1,False
infB,Staphylococcus aureus,A0A2X2JX14,Translation initiation factor IF-2,False
fabI,Staphylococcus aureus,G3G9A5,,False
fabH,Staphylococcus aureus,Q5TKS1,SaFabH,False
accA,Staphylococcus aureus,A0A2X2K6W2,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,False
folA,Staphylococcus aureus,P0A017,Dihydrofolate reductase,False
folP,Staphylococcus aureus,A0A8F2Z1A9,Dihydropteroate synthase,False
walK,Staphylococcus aureus,A0A1L6C0D8,Sensor protein kinase WalK,False
walR,Staphylococcus aureus,A0A1L6C155,Transcriptional regulatory protein WalR,False
ispD,Staphylococcus aureus,A0A0U1MVX0,Ribitol-5-phosphate cytidylyltransferase,False
secA,Staphylococcus aureus,A0A380DZT4,Protein translocase subunit SecA,False
secY,Staphylococcus aureus,A0A380DUL2,Protein translocase subunit SecY,False
lpxC,Pseudomonas aeruginosa,B5ATN6,UDP-3-O-acyl-N-acetylglucosamine deacetylase,False
