ensembl_id,symbol,name,biotype,overall_score,genetic_association,known_drug,literature,rna_expression,animal_model,source_disease,source_efo_id
ENSG00000135472,FAIM2,Fas apoptotic inhibitory molecule 2,protein_coding,0.3912951506951935,0.6436508106390982,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000138031,ADCY3,adenylate cyclase 3,protein_coding,0.38216514565904075,0.6286326456242285,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000140718,FTO,FTO alpha-ketoglutarate dependent dioxygenase,protein_coding,0.37202413453995065,0.6119514523717545,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000124762,CDKN1A,cyclin dependent kinase inhibitor 1A,protein_coding,0.3447269262432895,0.5670496174854421,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000120341,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor",protein_coding,0.3278537534943833,0.5392945295458348,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000144712,CAND2,cullin associated and neddylation dissociated 2 (putative),protein_coding,0.3234456832638077,0.5320435887349833,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000138821,SLC39A8,solute carrier family 39 member 8,protein_coding,0.32310538427766067,0.531483822742729,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000198729,PPP1R14C,protein phosphatase 1 regulatory inhibitor subunit 14C,protein_coding,0.3000773113523292,0.49360439137356343,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000172260,NEGR1,neuronal growth regulator 1,protein_coding,0.2753429632735806,0.4529182669397916,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000164093,PITX2,paired like homeodomain 2,protein_coding,0.25834900729441523,0.42496449975785316,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000154229,PRKCA,protein kinase C alpha,protein_coding,0.2501970974993237,0.4115552271447236,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000163281,GNPDA2,glucosamine-6-phosphate deaminase 2,protein_coding,0.24268386235260006,0.39919652583161214,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000168944,CEP120,centrosomal protein 120,protein_coding,0.2399397749711932,0.39468271045626424,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000137473,TTC29,tetratricopeptide repeat domain 29,protein_coding,0.2076174291731155,0.34151490595439893,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000185104,FAF1,Fas associated factor 1,protein_coding,0.20441593561060237,0.3362486921434013,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000148053,NTRK2,neurotrophic receptor tyrosine kinase 2,protein_coding,0.18525418168809454,0.3047290619522864,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000115808,STRN,striatin,protein_coding,0.1845174876924821,0.30351725626896403,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000151353,TMEM18,transmembrane protein 18,protein_coding,0.18266056943854928,0.30046276674280725,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000055332,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,protein_coding,0.16886971511524165,0.2777778585633109,0,0,0,0,bacterial infectious disease,EFO_0007041
ENSG00000091583,APOH,apolipoprotein H,protein_coding,0.12589691202360928,0.20709086053580558,0,0,0,0,bacterial infectious disease,EFO_0007041
