ensembl_id,symbol,name,biotype,overall_score,genetic_association,known_drug,literature,rna_expression,animal_model,source_disease
ENSG00000160791,CCR5,C-C motif chemokine receptor 5,protein_coding,0.7979829955696424,0.6389974049543478,0,0.9533675907656354,0,0.0,bacterial infectious disease
ENSG00000159110,IFNAR2,interferon alpha and beta receptor subunit 2,protein_coding,0.7511859168085423,0.8743629053598029,0,0.8826645608856741,0,0.0,bacterial infectious disease
ENSG00000010610,CD4,CD4 molecule,protein_coding,0.7470233021390144,0.0,0,0.9967587733311595,0,0.4479690064900633,bacterial infectious disease
ENSG00000196262,PPIA,peptidylprolyl isomerase A,protein_coding,0.7074288975241908,0.0,0,0.6096525853967039,0,0.3435872885401479,bacterial infectious disease
ENSG00000130234,ACE2,angiotensin converting enzyme 2,protein_coding,0.7066910429497562,0.7246510464955209,0,0.9903942484776139,0,0.3429489612026557,bacterial infectious disease
ENSG00000011007,ELOA,elongin A,protein_coding,0.6926636676118046,0.7143232601136588,0,0.0,0,0.0,bacterial infectious disease
ENSG00000132182,NUP210,nucleoporin 210,protein_coding,0.6824119514029002,0.6023030259892102,0,0.5013793715433421,0,0.0,bacterial infectious disease
ENSG00000198033,TUBA3C,tubulin alpha 3c,protein_coding,0.6668729173831409,0.46946718929644726,0,0.0,0,0.0,bacterial infectious disease
ENSG00000105397,TYK2,tyrosine kinase 2,protein_coding,0.6587196798192986,0.9124046234617914,0,0.5052472688596746,0,0.0,bacterial infectious disease
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,protein_coding,0.6543399530172201,0.0,0,0.2217080293761366,0,0.0,bacterial infectious disease
ENSG00000082898,XPO1,exportin 1,protein_coding,0.6536270917208448,0.0,0,0.1713127899994533,0,0.0,bacterial infectious disease
ENSG00000179399,GPC5,glypican 5,protein_coding,0.6468028038327156,0.44016049853757466,0,0.08475623869279654,0,0.0,bacterial infectious disease
ENSG00000144231,POLR2D,RNA polymerase II subunit D,protein_coding,0.6450039319559356,0.2940424930459631,0,0.0,0,0.0,bacterial infectious disease
ENSG00000140968,IRF8,interferon regulatory factor 8,protein_coding,0.6436248003064107,0.673210009536355,0,0.2353680559107556,0,0.32627645907815706,bacterial infectious disease
