gene,total_mentions,recent_mentions,older_mentions,trend_score
AMP,9,8,1,8.0
EPS,4,4,0,4.0
PA,5,4,1,4.0
TOPA,3,3,0,3.0
DTR,4,3,1,3.0
KEY,3,3,0,3.0
FTIR,3,3,0,3.0
CRISPR,24,18,6,3.0
ERG11,3,3,0,3.0
ATCC,4,3,1,3.0
MEDLINE,7,5,2,2.5
PS,3,2,1,2.0
CONTENT,3,2,1,2.0
C18,2,2,0,2.0
BALB,2,2,0,2.0
WGS,3,2,1,2.0
SOURCES,3,2,1,2.0
HA,2,2,0,2.0
A2,2,2,0,2.0
CDR1,2,2,0,2.0
LOS,3,2,1,2.0
MLST,2,2,0,2.0
D86N,2,2,0,2.0
CRPA,2,2,0,2.0
MDR1,2,2,0,2.0
PMF,3,2,1,2.0
AI,6,4,2,2.0
NTM,2,2,0,2.0
P4,2,2,0,2.0
POINTS,2,2,0,2.0
NAD,2,2,0,2.0
PARC,3,2,1,2.0
NP,3,2,1,2.0
MDRKP,2,2,0,2.0
PLGA,2,2,0,2.0
K1,3,2,1,2.0
HGT,3,2,1,2.0
MRR1,2,2,0,2.0
MIC50,3,2,1,2.0
AZM,2,2,0,2.0
UPEC,2,2,0,2.0
ROS,11,7,4,1.75
C10,2,1,1,1.0
MRGN,2,1,1,1.0
CHIR,2,1,1,1.0
PT,2,1,1,1.0
TLR4,4,2,2,1.0
BODY,2,1,1,1.0
MTBC,2,1,1,1.0
CA,2,1,1,1.0
