gene,inhibition,growth_ratio,potency
accA,0.0,1.0,0.0
accA,0.1,1.0,0.0
accA,0.3,1.0,0.0
accA,0.5,1.0,0.0
accA,0.7,1.0,0.0
accA,0.9,1.0,0.0
accA,1.0,-0.0,1.0
b0131,0.0,1.0,-0.0
b0131,0.1,1.0,-0.0
b0131,0.3,1.0,-0.0
b0131,0.5,1.0,-0.0
b0131,0.7,1.0,-0.0
b0131,0.9,1.0,-0.0
b0131,1.0,0.0,1.0
b0222,0.0,1.0,-0.0
b0222,0.1,1.0,-0.0
b0222,0.3,1.0,-0.0
b0222,0.5,1.0,-0.0
b0222,0.7,1.0,-0.0
b0222,0.9,1.0,-0.0
b0222,1.0,1.0,-0.0
b0638,0.0,1.0,0.0
b0638,0.1,1.0,0.0
b0638,0.3,1.0,0.0
b0638,0.5,1.0,0.0
b0638,0.7,1.0,0.0
b0638,0.9,1.0,0.0
b0638,1.0,1.0,0.0
b0871,0.0,1.0,0.0
b0871,0.1,1.0,0.0
b0871,0.3,1.0,0.0
b0871,0.5,1.0,0.0
b0871,0.7,1.0,0.0
b0871,0.9,1.0,0.0
b0871,1.0,1.0,0.0
b1389,0.0,1.0,0.0
b1389,0.1,1.0,0.0
b1389,0.3,1.0,0.0
b1389,0.5,1.0,0.0
b1389,0.7,1.0,0.0
b1389,0.9,1.0,0.0
b1389,1.0,1.0,0.0
b1535,0.0,1.0,0.0
b1535,0.1,1.0,0.0
b1535,0.3,1.0,0.0
b1535,0.5,1.0,0.0
b1535,0.7,1.0,0.0
b1535,0.9,1.0,0.0
b1535,1.0,1.0,0.0
b1662,0.0,1.0,0.0
b1662,0.1,1.0,0.0
b1662,0.3,1.0,0.0
b1662,0.5,1.0,0.0
b1662,0.7,1.0,0.0
b1662,0.9,1.0,0.0
b1662,1.0,-0.0,1.0
b1679,0.0,1.0,-0.0
b1679,0.1,1.0,-0.0
b1679,0.3,1.0,-0.0
b1679,0.5,1.0,-0.0
b1679,0.7,1.0,-0.0
b1679,0.9,1.0,-0.0
b1679,1.0,1.0,-0.0
b1727,0.0,1.0,0.0
b1727,0.1,1.0,0.0
b1727,0.3,1.0,0.0
b1727,0.5,1.0,0.0
b1727,0.7,1.0,0.0
b1727,0.9,1.0,0.0
b1727,1.0,1.0,0.0
b1738,0.0,1.0,0.0
b1738,0.1,1.0,0.0
b1738,0.3,1.0,0.0
b1738,0.5,1.0,0.0
b1738,0.7,1.0,0.0
b1738,0.9,1.0,0.0
b1738,1.0,1.0,0.0
b1812,0.0,1.0,0.0
b1812,0.1,1.0,0.0
b1812,0.3,1.0,0.0
b1812,0.5,1.0,0.0
b1812,0.7,1.0,0.0
b1812,0.9,1.0,0.0
b1812,1.0,-0.0,1.0
b2034,0.0,1.0,-0.0
b2034,0.1,1.0,-0.0
b2034,0.3,1.0,-0.0
b2034,0.5,1.0,-0.0
b2034,0.7,1.0,-0.0
b2034,0.9,1.0,-0.0
b2034,1.0,1.0,-0.0
b2131,0.0,1.0,0.0
b2131,0.1,1.0,0.0
b2131,0.3,1.0,0.0
b2131,0.5,1.0,0.0
b2131,0.7,1.0,0.0
b2131,0.9,1.0,0.0
b2131,1.0,1.0,0.0
b2291,0.0,1.0,0.0
b2291,0.1,1.0,0.0
b2291,0.3,1.0,0.0
b2291,0.5,1.0,0.0
b2291,0.7,1.0,0.0
b2291,0.9,1.0,0.0
b2291,1.0,1.0,0.0
b2309,0.0,1.0,0.0
b2309,0.1,1.0,0.0
b2309,0.3,1.0,0.0
b2309,0.5,1.0,0.0
b2309,0.7,1.0,0.0
b2309,0.9,1.0,0.0
b2309,1.0,1.0,0.0
b2528,0.0,1.0,0.0
