species,model,gene1,gene2,type1,type2,pair_type,growth_wt,growth_KO_A,growth_KO_B,growth_KO_AB,growth_ratio_A,growth_ratio_B,growth_ratio_AB,fitness_A,fitness_B,fitness_AB,synergy_bliss,interaction
E. coli,iML1515,murA,murB,essential,essential,ess_ess,0.876997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.0,additive
E. coli,iML1515,murA,murC,essential,essential,ess_ess,0.876997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,murD,essential,essential,ess_ess,0.876997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,murE,essential,essential,ess_ess,0.876997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,murF,essential,essential,ess_ess,0.876997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,lpxA,essential,essential,ess_ess,0.876997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,lpxB,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,lpxC,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,lpxD,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,ftsW,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,fabI,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,fabH,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
E. coli,iML1515,murA,accA,essential,essential,ess_ess,0.876997,0.0,0.0,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,additive
