species,model,gene1,gene2,inhibition_A,inhibition_B,growth_ratio,fitness
E. coli,iML1515,murA,murB,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,murB,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,murB,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,murB,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,murB,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,murB,0.325,0.1,1.0,0.0
E. coli,iML1515,murA,murB,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,murB,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,murB,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,murB,0.325,1.0,-0.0,1.0
E. coli,iML1515,murA,murB,0.55,0.1,1.0,0.0
E. coli,iML1515,murA,murB,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,murB,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,murB,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,murB,0.55,1.0,-0.0,1.0
E. coli,iML1515,murA,murB,0.775,0.1,1.0,0.0
E. coli,iML1515,murA,murB,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,murB,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,murB,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,murB,0.775,1.0,-0.0,1.0
E. coli,iML1515,murA,murB,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,murB,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,murB,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,murB,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,murB,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,murC,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,murC,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,murC,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,murC,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,murC,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,murC,0.325,0.1,1.0,0.0
E. coli,iML1515,murA,murC,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,murC,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,murC,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,murC,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,murC,0.55,0.1,1.0,0.0
E. coli,iML1515,murA,murC,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,murC,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,murC,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,murC,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,murC,0.775,0.1,1.0,0.0
E. coli,iML1515,murA,murC,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,murC,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,murC,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,murC,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,murC,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,murC,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,murC,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,murC,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,murC,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,murD,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,murD,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,murD,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,murD,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,murD,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,murD,0.325,0.1,1.0,0.0
E. coli,iML1515,murA,murD,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,murD,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,murD,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,murD,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,murD,0.55,0.1,1.0,0.0
E. coli,iML1515,murA,murD,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,murD,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,murD,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,murD,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,murD,0.775,0.1,1.0,0.0
E. coli,iML1515,murA,murD,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,murD,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,murD,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,murD,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,murD,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,murD,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,murD,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,murD,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,murD,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,murE,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,murE,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,murE,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,murE,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,murE,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,murE,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,murE,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,murE,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,murE,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,murE,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,murE,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,murE,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,murE,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,murE,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,murE,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,murE,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,murE,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,murE,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,murE,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,murE,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,murE,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,murE,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,murE,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,murE,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,murE,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,murF,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,murF,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,murF,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,murF,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,murF,0.1,1.0,0.0,1.0
E. coli,iML1515,murA,murF,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,murF,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,murF,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,murF,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,murF,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,murF,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,murF,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,murF,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,murF,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,murF,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,murF,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,murF,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,murF,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,murF,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,murF,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,murF,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,murF,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,murF,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,murF,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,murF,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,lpxA,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.1,1.0,-0.0,1.0
E. coli,iML1515,murA,lpxA,0.325,0.1,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,lpxA,0.325,0.775,1.0,-0.0
