species,model,gene1,gene2,pathway1,pathway2,inhibition_A,inhibition_B,growth_A_single,growth_B_single,growth_AB_observed,growth_AB_bliss_expected,bliss_excess
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.1,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.2,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.3,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.4,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.5,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.6,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.7,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.75,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.8,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.85,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.9,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.93,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,0.96,1.0,1.0,1.0,1.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.0,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.1,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.2,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.3,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.4,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.5,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.6,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.7,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.75,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.8,1.0,1.0,1.0,1.0,0.0
E. coli,iML1515,murA,lpxA,peptidoglycan,LPS,0.1,0.85,1.0,1.0,1.0,1.0,0.0
