genetic_evidence,expression_specificity,druggability,novelty,competition,literature_trend,composite_score,tier,gene_id,gene_name,track,is_essential,essential_score,is_novel_target,has_existing_drug,pathway,organism,has_structure,uniprot_id,connections
0.97,0.8,0.55,0.9,0.95,0.85,0.8275,Tier 1 - High Priority,AMR_lpxC_Pseu,lpxC,amr,True,0.97,True,False,lps_synthesis,Pseudomonas aeruginosa,False,B5ATN6,2
0.97,0.8,0.55,0.9,0.95,0.85,0.8275,Tier 1 - High Priority,AMR_lpxC_Kleb,lpxC,amr,True,0.97,True,False,lps_synthesis,Klebsiella pneumoniae,False,W1DVV5,2
0.96,0.8,0.55,0.9,0.95,0.85,0.825,Tier 1 - High Priority,AMR_lpxC_Ente,lpxC,amr,True,0.96,True,False,lps_synthesis,Enterobacter cloacae,False,A0ABD0BY00,2
0.96,0.8,0.55,0.9,0.95,0.85,0.825,Tier 1 - High Priority,AMR_lpxC_Acin,lpxC,amr,True,0.96,True,False,lps_synthesis,Acinetobacter baumannii,False,A0A482KNG5,2
0.93,0.8,0.55,0.9,0.95,0.85,0.8175,Tier 1 - High Priority,AMR_lpxA_Pseu,lpxA,amr,True,0.93,True,False,lps_synthesis,Pseudomonas aeruginosa,False,B7V7U4,2
0.92,0.8,0.55,0.9,0.95,0.85,0.815,Tier 1 - High Priority,AMR_lpxB_Pseu,lpxB,amr,True,0.92,True,False,lps_synthesis,Pseudomonas aeruginosa,False,A0A0C6ECJ3,2
0.96,0.8,0.5,0.9,0.95,0.85,0.815,Tier 1 - High Priority,AMR_bamA_Pseu,bamA,amr,True,0.96,True,False,outer_membrane,Pseudomonas aeruginosa,False,A0A6A9K1A9,2
0.92,0.8,0.55,0.9,0.95,0.85,0.815,Tier 1 - High Priority,AMR_lpxA_Kleb,lpxA,amr,True,0.92,True,False,lps_synthesis,Klebsiella pneumoniae,False,W1DM47,2
0.91,0.8,0.55,0.9,0.95,0.85,0.8125,Tier 1 - High Priority,AMR_lpxD_Pseu,lpxD,amr,True,0.91,True,False,lps_synthesis,Pseudomonas aeruginosa,False,A0A7M3AW73,2
0.95,0.8,0.5,0.9,0.95,0.85,0.8125,Tier 1 - High Priority,AMR_bamA_Acin,bamA,amr,True,0.95,True,False,outer_membrane,Acinetobacter baumannii,False,A0A9P2QHL4,2
0.95,0.8,0.5,0.9,0.95,0.85,0.8125,Tier 1 - High Priority,AMR_bamA_Kleb,bamA,amr,True,0.95,True,False,outer_membrane,Klebsiella pneumoniae,False,A0A8D6Q4R0,2
0.94,0.8,0.5,0.9,0.95,0.85,0.81,Tier 1 - High Priority,AMR_bamA_Ente,bamA,amr,True,0.94,True,False,outer_membrane,Enterobacter cloacae,False,A0A330G972,2
0.93,0.8,0.5,0.9,0.95,0.85,0.8075,Tier 1 - High Priority,AMR_bamD_Pseu,bamD,amr,True,0.93,True,False,outer_membrane,Pseudomonas aeruginosa,False,A0A6A9K6M3,2
0.98,0.8,0.45,0.9,0.95,0.8,0.805,Tier 1 - High Priority,AMR_ftsZ_Stap,ftsZ,amr,True,0.98,True,False,cell_division,Staphylococcus aureus,False,B5LV61,2
0.98,0.8,0.45,0.9,0.95,0.8,0.805,Tier 1 - High Priority,AMR_ftsZ_Pseu,ftsZ,amr,True,0.98,True,False,cell_division,Pseudomonas aeruginosa,False,A0ABD7K1P1,2
