gene,count
FTSZ,41
IL31,19
LPXC,17
IL13,8
TRPV1,7
BAMA,6
IL4,6
BAM,5
MURA,5
TRPA1,5
TRPV3,5
EGFR,5
JAK,4
TUBULIN,3
MURB,3
LPTD,3
IL4RΑ,3
IL31RA,3
TRPV4,3
H1R,3
H2R,3
H4R,3
IL33,3
BAM A,2
MURC,2
MURD,2
MURE,2
MURF,2
PBP2A,2
LPS,2
NK1R,2
SP,2
OX40,2
IL17A,2
IL31R,2
TRP,2
KOR,2
MOR,2
MRGPRX4,2
NGF,2
CYTOKINES,2
CHEMOKINES,2
IL17,2
PDL1,2
IL23,2
GRPR,2
TRPV2,2
FLG,2
IL6,2
STAT3,2
BDNF,2
MRGPRX2,2
NAV1.7,2
TLN,1
PLN,1
MREB,1
XOOFTSZ,1
OMPS,1
BAMD,1
ECOLI,1
SALMONELLA,1
WALR,1
WALK,1
MURG,1
MRAY,1
MUR,1
PBP,1
SORTASES,1
GLMU,1
PA4735,1
SSRA,1
DCW,1
CRISPRCAS,1
AROA,1
DEPOLYMERASES,1
ENDOLYSINS,1
NRPS,1
PKS,1
PBP3,1
LCP5L4,1
CRISPR/CAS9,1
LPTDE,1
SURA,1
BAMAE470K,1
IMP,1
OMP,1
ΣE,1
RCS,1
PBPS,1
FTSQ,1
CLPP,1
PG SYNTHASES,1
PG HYDROLASE,1
EFFLUX PUMPS,1
WTA,1
LTA,1
PTPS,1
ELSL,1
DHFR,1
CASPASE1,1
