ensembl_id,symbol,name,biotype,overall_score,genetic_association,known_drug,literature,rna_expression,animal_model,source_disease,source_efo_id
ENSG00000196639,HRH1,histamine receptor H1,protein_coding,0.5997282021125234,0.0,0,0.07888764078038195,0,0.0,pruritus,HP_0000989
ENSG00000196876,SCN8A,sodium voltage-gated channel alpha subunit 8,protein_coding,0.5959520284928246,0.0,0,0.19453785523571876,0,0.0,pruritus,HP_0000989
ENSG00000168356,SCN11A,sodium voltage-gated channel alpha subunit 11,protein_coding,0.5928285654153851,0.0,0,0.09178066347275446,0,0.0,pruritus,HP_0000989
ENSG00000185313,SCN10A,sodium voltage-gated channel alpha subunit 10,protein_coding,0.5920204740658003,0.0,0,0.037995674850726316,0,0.0,pruritus,HP_0000989
ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5,protein_coding,0.5908655370199106,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000136546,SCN7A,sodium voltage-gated channel alpha subunit 7,protein_coding,0.5907779105272388,0.0,0,0.024317231904464845,0,0.0,pruritus,HP_0000989
ENSG00000169432,SCN9A,sodium voltage-gated channel alpha subunit 9,protein_coding,0.5905931205998964,0.0,0,0.01823792392834863,0,0.0,pruritus,HP_0000989
ENSG00000120907,ADRA1A,adrenoceptor alpha 1A,protein_coding,0.5902607779393171,0.0,0,0.04194384764188179,0,0.0,pruritus,HP_0000989
ENSG00000153253,SCN3A,sodium voltage-gated channel alpha subunit 3,protein_coding,0.5900387508178694,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000144285,SCN1A,sodium voltage-gated channel alpha subunit 1,protein_coding,0.5900387508178694,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000136531,SCN2A,sodium voltage-gated channel alpha subunit 2,protein_coding,0.5900387508178694,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000007314,SCN4A,sodium voltage-gated channel alpha subunit 4,protein_coding,0.5900387508178694,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000171873,ADRA1D,adrenoceptor alpha 1D,protein_coding,0.5889858301017256,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000170214,ADRA1B,adrenoceptor alpha 1B,protein_coding,0.5889858301017256,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000104321,TRPA1,transient receptor potential cation channel subfamily A member 1,protein_coding,0.5835448658618302,0.0,0,0.16978995864516674,0,0.0,pruritus,HP_0000989
ENSG00000144481,TRPM8,transient receptor potential cation channel subfamily M member 8,protein_coding,0.5807660453712841,0.0,0,0.07837098459537788,0,0.0,pruritus,HP_0000989
ENSG00000082556,OPRK1,opioid receptor kappa 1,protein_coding,0.573990014479935,0.0,0,0.19777360524882379,0,0.0,pruritus,HP_0000989
ENSG00000125255,SLC10A2,solute carrier family 10 member 2,protein_coding,0.5566140944063063,0.0,0,0.195004121564062,0,0.0,pruritus,HP_0000989
ENSG00000113580,NR3C1,nuclear receptor subfamily 3 group C member 1,protein_coding,0.5030392466541774,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000103546,SLC6A2,solute carrier family 6 member 2,protein_coding,0.3788193510518193,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000112038,OPRM1,opioid receptor mu 1,protein_coding,0.37815797146912045,0.0,0,0.19867473478621236,0,0.0,pruritus,HP_0000989
ENSG00000164509,IL31RA,interleukin 31 receptor A,protein_coding,0.37120810370454843,0.0,0,0.05356691999298338,0,0.0,pruritus,HP_0000989
ENSG00000274286,ADRA2B,adrenoceptor alpha 2B,protein_coding,0.37085480252229325,0.0,0,0.04194384764188179,0,0.0,pruritus,HP_0000989
ENSG00000204539,CDSN,corneodesmosin,protein_coding,0.36994943453938645,0.0,0,0.012158615952232422,0,0.0,pruritus,HP_0000989
ENSG00000150594,ADRA2A,adrenoceptor alpha 2A,protein_coding,0.3695798546847018,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000184160,ADRA2C,adrenoceptor alpha 2C,protein_coding,0.3695798546847018,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000116329,OPRD1,opioid receptor delta 1,protein_coding,0.3676530478076668,0.0,0,0.012158615952232422,0,0.0,pruritus,HP_0000989
ENSG00000073734,ABCB11,ATP binding cassette subfamily B member 11,protein_coding,0.34746176060726097,0.5592963338026914,0,0.2450375709405551,0,0.0,pruritus,HP_0000989
ENSG00000115353,TACR1,tachykinin receptor 1,protein_coding,0.3471586127472973,0.0,0,0.1703977236068042,0,0.0,pruritus,HP_0000989
ENSG00000149294,NCAM1,neural cell adhesion molecule 1,protein_coding,0.3096766153010192,0.5093945174642349,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000077238,IL4R,interleukin 4 receptor,protein_coding,0.2869451508066041,0.0,0,0.050906259051093236,0,0.0,pruritus,HP_0000989
ENSG00000163285,GABRG1,gamma-aminobutyric acid type A receptor subunit gamma1,protein_coding,0.2642495960995617,0.0,0,0.030396539880581056,0,0.0,pruritus,HP_0000989
ENSG00000102287,GABRE,gamma-aminobutyric acid type A receptor subunit epsilon,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000113327,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000268089,GABRQ,gamma-aminobutyric acid type A receptor subunit theta,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000145864,GABRB2,gamma-aminobutyric acid type A receptor subunit beta2,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000145863,GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000151834,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000094755,GABRP,gamma-aminobutyric acid type A receptor subunit pi,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000109158,GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000011677,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000022355,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000187730,GABRD,gamma-aminobutyric acid type A receptor subunit delta,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000163288,GABRB1,gamma-aminobutyric acid type A receptor subunit beta1,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000182256,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000186297,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000166206,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3,protein_coding,0.26332564646285,0.0,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000186153,WWOX,WW domain containing oxidoreductase,protein_coding,0.2591257384085752,0.4262421634610436,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000185420,SMYD3,SET and MYND domain containing 3,protein_coding,0.2347105638157331,0.38608105517575514,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000114062,UBE3A,ubiquitin protein ligase E3A,protein_coding,0.20087392277518276,0.33042234998515707,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000158113,LRRC43,leucine rich repeat containing 43,protein_coding,0.17851182628848045,0.2936383992878798,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000196689,TRPV1,transient receptor potential cation channel subfamily V member 1,protein_coding,0.1062116592623062,0.0,0,0.13791767830110382,0,0.0,pruritus,HP_0000989
ENSG00000204671,IL31,interleukin 31,protein_coding,0.10532419633366936,0.11846715450154616,0,0.7181675837529091,0,0.0,pruritus,HP_0000989
ENSG00000265681,RPL17,ribosomal protein L17,protein_coding,0.09524322283641579,0.0,0,0.7833393472628629,0,0.0,pruritus,HP_0000989
ENSG00000076382,SPAG5,sperm associated antigen 5,protein_coding,0.09239496367117545,0.15198269940290526,0,0.0,0,0.0,pruritus,HP_0000989
ENSG00000196557,CACNA1H,calcium voltage-gated channel subunit alpha1 H,protein_coding,0.08721057959851505,0.0,0,0.11989746286229193,0,0.0,pruritus,HP_0000989
ENSG00000188389,PDCD1,programmed cell death 1,protein_coding,0.08560363467376338,0.0,0,0.7040573944441911,0,0.0,pruritus,HP_0000989
ENSG00000158480,SPATA2,spermatogenesis associated 2,protein_coding,0.0856019450499778,0.0,0,0.7040434979300466,0,0.0,pruritus,HP_0000989
ENSG00000215472,RPL17-C18orf32,RPL17-C18orf32 readthrough,protein_coding,0.0856019450499778,0.0,0,0.7040434979300466,0,0.0,pruritus,HP_0000989
ENSG00000145335,SNCA,synuclein alpha,protein_coding,0.0856019450499778,0.0,0,0.7040434979300466,0,0.0,pruritus,HP_0000989
ENSG00000100346,CACNA1I,calcium voltage-gated channel subunit alpha1 I,protein_coding,0.08449006122375267,0.0,0,0.030396539880581056,0,0.0,pruritus,HP_0000989
ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G,protein_coding,0.08449006122375267,0.0,0,0.030396539880581056,0,0.0,pruritus,HP_0000989
ENSG00000166862,CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2,protein_coding,0.08356611158704091,0.0,0,0.0,0,0.0,pruritus,HP_0000989
