gene,total_mentions,recent_mentions,older_mentions,trend_score
UDCA,7,7,0,7.0
CKD,5,5,0,5.0
OX40,11,9,2,4.5
CCL2,4,4,0,4.0
OCA,4,4,0,4.0
PRISMA,5,4,1,4.0
IL17A,4,3,1,3.0
ATP,3,3,0,3.0
CLA,4,3,1,3.0
KIT,4,3,1,3.0
CAD,3,3,0,3.0
PASI,3,3,0,3.0
TARC,3,3,0,3.0
MRGPRD,4,3,1,3.0
IC50,4,3,1,3.0
ALP,3,3,0,3.0
RT,3,3,0,3.0
PN,15,11,4,2.75
PBC,14,10,4,2.5
OSM,10,7,3,2.33
SLE,2,2,0,2.0
VIP,2,2,0,2.0
FUTURE,2,2,0,2.0
PP,9,6,3,2.0
JBI,2,2,0,2.0
IL3,2,2,0,2.0
CXCL10,3,2,1,2.0
TCM,3,2,1,2.0
KHK4083,2,2,0,2.0
STAT3,12,8,4,2.0
STAT6,2,2,0,2.0
P2X3,3,2,1,2.0
UK,3,2,1,2.0
CC,2,2,0,2.0
HEK293T,2,2,0,2.0
MST,2,2,0,2.0
STAT5,3,2,1,2.0
TRPM3,3,2,1,2.0
FAERS,2,2,0,2.0
BP180,3,2,1,2.0
STRING,3,2,1,2.0
M2,2,2,0,2.0
OX40L,6,4,2,2.0
BAM8,3,2,1,2.0
IL8,2,2,0,2.0
CCL18,3,2,1,2.0
GM,2,2,0,2.0
FUNDING,2,2,0,2.0
PAMP,2,2,0,2.0
CSF,3,2,1,2.0
