molecule_chembl_id,molecule_name,target_chembl_id,target_name,standard_value,standard_units,standard_type
CHEMBL1446,KANAMYCIN SULFATE,CHEMBL354,Escherichia coli,3.9,ug.mL-1,MIC
CHEMBL78569,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL309514,,CHEMBL354,Escherichia coli,6.25,ug.mL-1,MIC
CHEMBL96258,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL96258,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL275216,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15353,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL15322,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL279854,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL2367615,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL6299,,CHEMBL354,Escherichia coli,3.1,ug.mL-1,MIC
CHEMBL6299,,CHEMBL354,Escherichia coli,1.6,ug.mL-1,MIC
CHEMBL420217,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL311411,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL309606,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL47891,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL47891,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL48072,,CHEMBL354,Escherichia coli,0.25,ug.mL-1,MIC
CHEMBL48072,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL15362,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15347,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15345,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL15389,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL275411,,CHEMBL354,Escherichia coli,1.6,ug.mL-1,MIC
CHEMBL407311,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL285521,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL141308,,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL141308,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL277730,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL14851,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL277100,TEMAFLOXACIN,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15314,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL276583,,CHEMBL354,Escherichia coli,0.013,ug.mL-1,MIC
CHEMBL2367613,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL344476,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL344476,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL45890,,CHEMBL354,Escherichia coli,0.125,ug.mL-1,MIC
CHEMBL45890,,CHEMBL354,Escherichia coli,0.125,ug.mL-1,MIC
CHEMBL6210,PD-117558,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL278184,,CHEMBL354,Escherichia coli,0.1,ug.mL-1,MIC
CHEMBL15357,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL275174,,CHEMBL354,Escherichia coli,0.025,ug.mL-1,MIC
CHEMBL418355,,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL15524,,CHEMBL354,Escherichia coli,0.4,ug.mL-1,MIC
CHEMBL416220,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL6282,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL6282,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL82421,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL79127,,CHEMBL354,Escherichia coli,1.56,ug.mL-1,MIC
CHEMBL311588,,CHEMBL354,Escherichia coli,3.13,ug.mL-1,MIC
