region,metric,S_dec,S_inc,S_tie,study_p,E_dec,E_inc,entry_p
amygdala,functional,32,45,8,0.17106097355391156,96,114,0.24068185791401187
hippocampus,structural,55,12,1,1.0273195443541005e-07,135,34,1.907843728854735e-15
amygdala,structural,23,13,0,0.13249816396273673,62,24,5.083654201844157e-05
hippocampus,functional,14,18,5,0.5966148958541453,38,39,1.0
prefrontal cortex,functional,18,13,5,0.47312965989112854,29,25,0.6834892282353375
insula,functional,10,12,0,0.8318119049072266,20,26,0.4613911821367651
striatum,functional,7,7,3,1.0,19,23,0.6439689563703723
ACC,functional,9,7,0,0.803619384765625,15,10,0.42435622215270996
striatum,structural,6,0,0,0.03125,14,0,0.0001220703125
thalamus,structural,4,1,2,0.375,9,4,0.266845703125
thalamus,functional,3,5,0,0.7265625,4,9,0.266845703125
insula,structural,4,3,0,1.0,7,3,0.34375
prefrontal cortex,structural,4,0,2,0.125,8,2,0.109375
