region,metric,entry_dec,entry_inc,entry_p,study_dec,study_inc,study_tie,study_p
amygdala,functional,99,116,0.2751544299216533,32,46,10,0.14053828626952244
hippocampus,structural,139,34,2.85958936036097e-16,56,12,2,6.209495737562187e-08
amygdala,structural,63,25,6.27038277122379e-05,24,14,0,0.14330665429588407
hippocampus,functional,41,39,0.9110721212260928,15,18,7,0.7283324808813632
prefrontal cortex,functional,29,25,0.6834892282353375,18,13,6,0.47312965989112854
insula,functional,20,26,0.4613911821367651,10,12,0,0.8318119049072266
striatum,functional,19,23,0.6439689563703723,7,7,3,1.0
ACC,functional,15,10,0.42435622215270996,9,7,0,0.803619384765625
thalamus,functional,6,9,0.60723876953125,4,5,0,1.0
striatum,structural,14,0,0.0001220703125,6,0,0,0.03125
thalamus,structural,9,4,0.266845703125,4,1,2,0.375
insula,structural,7,3,0.34375,4,3,0,1.0
prefrontal cortex,structural,8,2,0.109375,4,0,2,0.125
