pmid,title,year,journal,study_type,pmc_id
35267253,Does Hippocampal Volume in Patients with Posttraumatic Stress Disorder Vary by Trauma Type?,,Harvard review of psychiatry,meta_analysis,
33856149,Diminished Age-Related Decline of the Amygdala in Long-Term Meditation Practitioners.,,Psychosomatic medicine,human,
33656482,Research Letter: Blast Exposure and Brain Volume.,,The Journal of head trauma rehabilitation,human,
38150567,Neighborhood Perceptions Are Associated With Intrinsic Amygdala Activity and Resting-State Connectivity With Salience Network Nodes Among Older Adults.,,Psychosomatic medicine,human,PMC10922456
36534836,Structural and Functional Brain Alterations in Populations with Familial Risk for Depression: A Narrative Review.,,Harvard review of psychiatry,review,
41492742,[Abnormal functional connectivity and structure-function coupling of the nucleus accumbens in patients with major depressive disorder].,,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,human,PMC12740730
41492751,[Depressive disorders and olfactory dysfunction].,,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,review,PMC12740733
31435577,Frontal Lobe Circuitry in Posttraumatic Stress Disorder.,,"Chronic stress (Thousand Oaks, Calif.)",review,PMC6703563
20546834,"Single prolonged stress decreases glutamate, glutamine, and creatine concentrations in the rat medial prefrontal cortex.",2010,Neuroscience letters,animal,PMC2902659
20540829,Apathy following stroke.,2010,Canadian journal of psychiatry. Revue canadienne de psychiatrie,review,
20537659,Deep brain stimulation of the amygdala alleviates post-traumatic stress disorder symptoms in a rat model.,2010,Journal of psychiatric research,animal,
20536684,Melatonin treatment mimics the antidepressant action in chronic corticosterone-treated mice.,2010,Journal of pineal research,animal,
20534464,Resting-state functional MRI in depression unmasks increased connectivity between networks via the dorsal nexus.,2010,Proceedings of the National Academy of Sciences of the United States of America,human,PMC2890754
19109443,Early environmental predictors of the affective and interpersonal constructs of psychopathy.,2010,International journal of offender therapy and comparative criminology,review,
20519060,Cortisol plasma levels in social anxiety disorder patients correlate with serotonin-1A receptor binding in limbic brain regions.,2010,The international journal of neuropsychopharmacology,human,
20547425,Reduced left subgenual anterior cingulate cortical activity during withdrawal-related emotions in melancholic depressed female patients.,2010,Journal of affective disorders,human,
20513453,[Therapeutic efficacy and safety of repetitive Transcranial Magnetic Stimulation in depressions of the elderly: a review].,2010,L'Encephale,review,
20486040,Finasteride treatment inhibits adult hippocampal neurogenesis in male mice.,2010,Pharmacopsychiatry,animal,
20472146,Estrogen in the limbic system.,2010,Vitamins and hormones,review,
20466039,N-methyl-d-aspartic acid receptors are altered by stress and alcohol in Wistar-Kyoto rat brain.,2010,Neuroscience,animal,PMC2900440
