"gene","nsnp","PP3","PP4"
"FURIN",11142,0,1
"TRMT61A",9864,0.0015,0.9985
"GPR27",9427,0.0037,0.9963
"SLC12A5",9939,0.0037,0.9963
"SPPL3",9378,0.007,0.993
"KLF11",11229,0.011,0.9882
"HACD2",10090,0.0112,0.9863
"INAFM1",10636,0.015,0.9846
"AREL1",9532,0.0164,0.9836
"DIAPH3",11216,0.0249,0.9751
"PPP6C",7874,0.0349,0.9651
"PDS5A",11417,0.0307,0.9609
"KDELR2",13493,0.0389,0.956
"ZDHHC5",11650,0.0465,0.9535
"PPP1R18",21615,0.0475,0.9524
"MYRF",8317,0.0502,0.9498
"CHRNA4",9364,0.0541,0.937
"GIGYF2",11311,0.0662,0.9338
"FADS1",8304,0.0675,0.9325
"SP4",13111,0.0419,0.9309
"TMEM165",11589,0.0801,0.9185
"RERE",9095,0.0868,0.9132
"OPN3",11235,0.0877,0.9074
"B4GALNT4",7201,0.1027,0.8959
"VRK2",10220,0.1103,0.8894
"DDX27",10635,0.1167,0.8822
"ZNHIT1",7943,0.0807,0.8788
"FRAT1",9464,0.1181,0.8657
"FLJ20021",10028,0.1498,0.8399
"CTBP1",8251,0.1888,0.8087
"CTTNBP2",8031,0.2056,0.7925
"SERPINI2",11126,0.2176,0.7695
"ITIH4",7543,0.237,0.763
"ALG10",8369,0.2472,0.7469
"ZNFX1",10671,0.2637,0.7329
"DCC",9790,0.2804,0.7196
"HS2ST1",9972,0.2988,0.7006
"LINC01068",10163,0.3064,0.6936
"CDK2AP1",9470,0.3341,0.6658
"MED24",8570,0.2688,0.6593
"ZNF197",9040,0.37,0.63
"SCAMP1",10403,0.3177,0.6176
"CBX5",9505,0.2681,0.6101
"METTL14",11459,0.4073,0.5921
"FAM168A",8627,0.467,0.5285
"SLC51A",11048,0.155,0.5116
"ZNF445",8895,0.5051,0.4949
"DLST",9597,0.5129,0.4871
"MAPRE3",7698,0.522,0.4733
"UBE3B",8487,0.524,0.4457
"CLOCK",11695,0.5846,0.4054
"SFMBT1",7642,0.6185,0.3815
"NOL4L",5692,0.6132,0.3743
"MIER1",10242,0.6182,0.3531
"GLTP",7787,0.7208,0.2373
"SLC25A12",11223,0.7646,0.2339
"KLHDC8B",4882,0.7803,0.2192
"EPB41L2",11332,0.7405,0.2094
"METAP1D",11156,0.802,0.1965
"GPX1",4970,0.8058,0.1942
"GDPD3",4536,0.7487,0.1922
"BTN3A2",10906,0.8464,0.1536
"RABGAP1L",7642,0.8557,0.1437
"DYNC1I2",11532,0.8618,0.1366
"TMEM258",8303,0.8647,0.1352
"MAEA",8477,0.857,0.1347
"REV1",8666,0.8156,0.132
"SPCS1",7516,0.8733,0.1266
"NEK4",7541,0.8987,0.1013
"PBRM1",7474,0.9011,0.0989
"SUDS3",10342,0.9006,0.0981
"MVK",8390,0.8556,0.0951
"OLFML2A",7861,0.9078,0.0922
"SLC25A17",8006,0.9122,0.0869
"GLYCTK",6987,0.9142,0.0858
"TAL1",7827,0.9284,0.0714
"GRAMD1C",9798,0.9296,0.0699
"TSNARE1",10569,0.9057,0.063
"GNL3",7506,0.9391,0.0608
"GLT8D1",7506,0.9516,0.0484
"AMT",4982,0.9634,0.0366
"TUBB",22193,0.5748,0.0331
"STAU1",10609,0.9674,0.0326
"SCAI",7871,0.9691,0.0308
"CLTB",9122,0.9706,0.0253
"ZKSCAN7",8938,0.9817,0.0183
"VAMP2",10701,0.971,0.0181
"RRP1B",12537,0.983,0.0166
"SELENOF",10073,0.9818,0.0162
"PITPNM2",9698,0.8695,0.0145
"DNAJC4",7279,0.904,0.0093
"C17orf58",10036,0.9908,0.0092
"TMEM216",8562,0.991,0.009
"PTCH1",8911,0.9911,0.0085
"KIF2A",8605,0.9753,0.0083
"QRICH1",4801,0.9877,0.0075
"CRB1",8481,0.9929,0.0069
"PRKAR2A",4739,0.9945,0.0055
"CHML",11235,0.9429,0.0052
"RAB27B",9486,0.9951,0.0049
"SYNPO2",11639,0.9943,0.0041
"LINC01415",9318,0.996,0.004
"EBLN3P",8446,0.9795,0.0039
"PPP1R14B",7271,0.9961,0.0038
"PDIA6",11373,0.9347,0.0025
"ABHD1",7785,0.9884,0.0021
"RGPD8",7659,0.6301,0.002
"LRGUK",9244,0.9982,0.0018
"OGFOD2",9694,0.9982,0.0014
"OR2H2",19617,0.9974,0.0014
"TSPAN13",11464,0.7456,0.0014
"XRCC3",9551,0.9987,0.0013
"KPNA2",9807,0.9988,0.0012
