gene	zscore	risk_direction	therapy_needed	drug	interaction_type	approved	score
AMT	-8.40	low_expr_risk	increase	FINGOLIMOD	agonist	True	0.375054795
AMT	-8.40	low_expr_risk	increase	PONESIMOD	agonist	True	0.300043836
AMT	-8.40	low_expr_risk	increase	SIPONIMOD	agonist	True	0.2500365296937833
AMT	-8.40	low_expr_risk	increase	ETRASIMOD	agonist	True	0.300043836
AMT	-8.40	low_expr_risk	increase	OZANIMOD	agonist	True	0.2500365296937833
APEH	-6.22	low_expr_risk	increase	ADENOSINE TRIPHOSPHATE	agonist	True	0.1816874437221263
DAGLA	-4.60	low_expr_risk	increase	ADENOSINE TRIPHOSPHATE	activator	True	0.3088686543276147
DAGLA	-4.60	low_expr_risk	increase	CAFFEINE	activator	True	0.1419126249613364
DDB1	4.68	high_expr_risk	decrease	LENALIDOMIDE	inhibitor	True	1.009762908
DDB1	4.68	high_expr_risk	decrease	POMALIDOMIDE	inhibitor	True	3.281729452230906
DDB1	4.68	high_expr_risk	decrease	THALIDOMIDE	inhibitor	True	0.3547815624033412
DRD2	-10.99	low_expr_risk	increase	MINAPRINE	agonist	True	0.069180068
DRD2	-10.99	low_expr_risk	increase	BROMOCRIPTINE MESYLATE	agonist	True	0.0296486
DRD2	-10.99	low_expr_risk	increase	CABERGOLINE	agonist	True	0.077827576
DRD2	-10.99	low_expr_risk	increase	ARIPIPRAZOLE LAUROXIL	agonist	True	0.043692674
DRD2	-10.99	low_expr_risk	increase	BREXPIPRAZOLE	agonist	True	0.088945801
DRD2	-10.99	low_expr_risk	increase	ARIPIPRAZOLE LAUROXIL	agonist	True	0.043692674
DRD2	-10.99	low_expr_risk	increase	MINAPRINE HYDROCHLORIDE	agonist	True	0.023060023
DRD2	-10.99	low_expr_risk	increase	PRAMIPEXOLE DIHYDROCHLORIDE	agonist	True	0.069180068
DRD2	-10.99	low_expr_risk	increase	APOMORPHINE	agonist	True	0.030746697
DRD2	-10.99	low_expr_risk	increase	PERGOLIDE MESYLATE	agonist	True	0.0296486
DRD2	-10.99	low_expr_risk	increase	ROTIGOTINE	agonist	True	0.062262061
DRD2	-10.99	low_expr_risk	increase	ERGOLOID MESYLATES, USP	agonist	True	0.015964631
DRD2	-10.99	low_expr_risk	increase	ROPINIROLE HYDROCHLORIDE	agonist	True	0.051885051
GPR27	6.96	high_expr_risk	decrease	ELOTUZUMAB	antibody	True	26.25383561784724
LAMB2	4.66	high_expr_risk	decrease	OCRIPLASMIN	cleavage	True	1.381780822
PSEN2	6.75	high_expr_risk	decrease	NIROGACESTAT	inhibitor	True	0.3409589041278863
RHOA	7.97	high_expr_risk	decrease	QUINIDINE	blocker	True	0.375054795
TLR9	5.18	high_expr_risk	decrease	HYDROXYCHLOROQUINE SULFATE	inhibitor	True	0.7721716358190367
VAMP2	5.17	high_expr_risk	decrease	BOTULINUM TOXIN TYPE B	inhibitor	True	17.50255707856483
AMT	-8.40	low_expr_risk	increase	SPHINGOSINE 1-PHOSPHATE	agonist	False	0.1666910197958555
AMT	-8.40	low_expr_risk	increase	A-971432	agonist	False	0.750109589
AMT	-8.40	low_expr_risk	increase	SAR247799	agonist	False	0.750109589
AMT	-8.40	low_expr_risk	increase	FINGOLIMOD-PHOSPHATE	agonist	False	0.300043836
AMT	-8.40	low_expr_risk	increase	AFD(R)	agonist	False	0.375054795
AMT	-8.40	low_expr_risk	increase	ASP4058	agonist	False	0.375054795
AMT	-8.40	low_expr_risk	increase	RP-101075	agonist	False	0.750109589
AMT	-8.40	low_expr_risk	increase	SEW2871	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	RP-001	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	BMS-986104 DERIVATIVE 24	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	CYM5442	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	COMPOUND 43 [PMID: 26751273]	agonist	False	0.300043836
AMT	-8.40	low_expr_risk	increase	BMS-986104 DERIVATIVE 12	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	ST-2191	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	AMISELIMOD PHOSPHATE	agonist	False	1.500219178
AMT	-8.40	low_expr_risk	increase	GSK-2018682	agonist	False	0.5000730593875666
AMT	-8.40	low_expr_risk	increase	COMPOUND 26 [PMID: 16190743]	agonist	False	0.375054795
AMT	-8.40	low_expr_risk	increase	CYM5181	agonist	False	1.500219178
