drug	n_consistent_genes	approved	consistent_targets
ADENOSINE TRIPHOSPHATE	2	True	APEH(agonist,Z=-6.2);DAGLA(activator,Z=-4.6)
OCRIPLASMIN	1	True	LAMB2(cleavage,Z=4.7)
MINAPRINE	1	True	DRD2(agonist,Z=-11.0)
BROMOCRIPTINE MESYLATE	1	True	DRD2(agonist,Z=-11.0)
LENALIDOMIDE	1	True	DDB1(inhibitor,Z=4.7)
ELOTUZUMAB	1	True	GPR27(antibody,Z=7.0)
QUINIDINE	1	True	RHOA(blocker,Z=8.0)
CABERGOLINE	1	True	DRD2(agonist,Z=-11.0)
ARIPIPRAZOLE LAUROXIL	1	True	DRD2(agonist,Z=-11.0)
BREXPIPRAZOLE	1	True	DRD2(agonist,Z=-11.0)
NIROGACESTAT	1	True	PSEN2(inhibitor,Z=6.7)
FINGOLIMOD	1	True	AMT(agonist,Z=-8.4)
HYDROXYCHLOROQUINE SULFATE	1	True	TLR9(inhibitor,Z=5.2)
MINAPRINE HYDROCHLORIDE	1	True	DRD2(agonist,Z=-11.0)
PRAMIPEXOLE DIHYDROCHLORIDE	1	True	DRD2(agonist,Z=-11.0)
PONESIMOD	1	True	AMT(agonist,Z=-8.4)
APOMORPHINE	1	True	DRD2(agonist,Z=-11.0)
BOTULINUM TOXIN TYPE B	1	True	VAMP2(inhibitor,Z=5.2)
CAFFEINE	1	True	DAGLA(activator,Z=-4.6)
SIPONIMOD	1	True	AMT(agonist,Z=-8.4)
PERGOLIDE MESYLATE	1	True	DRD2(agonist,Z=-11.0)
ETRASIMOD	1	True	AMT(agonist,Z=-8.4)
ROTIGOTINE	1	True	DRD2(agonist,Z=-11.0)
POMALIDOMIDE	1	True	DDB1(inhibitor,Z=4.7)
THALIDOMIDE	1	True	DDB1(inhibitor,Z=4.7)
OZANIMOD	1	True	AMT(agonist,Z=-8.4)
ERGOLOID MESYLATES, USP	1	True	DRD2(agonist,Z=-11.0)
ROPINIROLE HYDROCHLORIDE	1	True	DRD2(agonist,Z=-11.0)
QUINAGOLIDE	1	False	DRD2(agonist,Z=-11.0)
DEXMECAMYLAMINE	1	False	CHRNA4(inhibitor,Z=5.1)
CDX-1140	1	False	CD40(agonist,Z=-7.3)
CD40 LIGAND	1	False	CD40(agonist,Z=-7.3)
2MESATP	1	False	APEH(agonist,Z=-6.2)
NF546	1	False	APEH(agonist,Z=-6.2)
TENELIXIMAB	1	False	CD40(agonist,Z=-7.3)
BZATP	1	False	APEH(agonist,Z=-6.2)
ADP&BETA;S	1	False	APEH(agonist,Z=-6.2)
DATP	1	False	APEH(agonist,Z=-6.2)
