gene_entrez	gene_symbol	magma_p	magma_z	drug	approved	interaction_type	source	score
5142	PDE4B	2.4051e-06	4.5729	OXTRIPHYLLINE	True	inhibitor	ChEMBL	0.1166837138570989
5142	PDE4B	2.4051e-06	4.5729	TETOMILAST	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	AMLEXANOX	True	inhibitor	ChEMBL	0.089756703
5142	PDE4B	2.4051e-06	4.5729	HT-0712	False	NULL	TTD	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	PENTOXIFYLLINE	True	NULL	TEND	0.1000146118775133
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	DENBUFYLLINE	False	NULL	TTD	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	ROFLUMILAST	True	inhibitor	ChEMBL	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	IBUDILAST	False	inhibitor	ChEMBL	0.1458546423213736
5142	PDE4B	2.4051e-06	4.5729	OGLEMILAST	False	NULL	TTD	1.166837138570988
5142	PDE4B	2.4051e-06	4.5729	THEOPHYLLINE	True	NULL	TdgClinicalTrial	0.1296485709523321
5142	PDE4B	2.4051e-06	4.5729	ROFLUMILAST	True	NULL	TdgClinicalTrial	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	CRISABOROLE	True	NULL	TdgClinicalTrial	0.33338204
5142	PDE4B	2.4051e-06	4.5729	THEOPHYLLINE SODIUM GLYCINATE	True	inhibitor	ChEMBL	0.1166837138570989
5142	PDE4B	2.4051e-06	4.5729	CILOMILAST	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	INAMRINONE	True	NULL	TEND	0.1228249619548409
5142	PDE4B	2.4051e-06	4.5729	RESVERATROL	True	NULL	TdgClinicalTrial	0.023813003
5142	PDE4B	2.4051e-06	4.5729	SELECTIVE CYTOKINE INHIBITORY DRUG CC-1088	False	NULL	TTD	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	LIRIMILAST	False	NULL	TTD	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	RONOMILAST	False	NULL	TTD	0.7778914257139925
5142	PDE4B	2.4051e-06	4.5729	DIFAMILAST	False	inhibitor	ChEMBL	0.2333674277141978
5142	PDE4B	2.4051e-06	4.5729	HT-0712	False	inhibitor	ChEMBL	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	DROTAVERIN	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	TRANIMILAST	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TTD	NULL
5142	PDE4B	2.4051e-06	4.5729	TOFIMILAST	False	inhibitor	ChEMBL	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	MEM 1414	False	NULL	TdgClinicalTrial	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	TOFIMILAST	False	NULL	TTD	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	MK-0873	False	NULL	TTD	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	LOTAMILAST	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	CRISABOROLE	True	inhibitor	ChEMBL	0.33338204
5142	PDE4B	2.4051e-06	4.5729	INAMRINONE	True	NULL	TdgClinicalTrial	0.1228249619548409
5142	PDE4B	2.4051e-06	4.5729	HT-0712	False	NULL	TTD	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	ASPIRIN	True	inhibitor	ChEMBL	0.008275441
5142	PDE4B	2.4051e-06	4.5729	OGLEMILAST	False	NULL	TdgClinicalTrial	1.166837138570988
5142	PDE4B	2.4051e-06	4.5729	CAFFEINE	True	NULL	TEND	0.063072278
5142	PDE4B	2.4051e-06	4.5729	DOVRAMILAST	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	APREMILAST	True	inhibitor	ChEMBL	0.2333674277141978
5142	PDE4B	2.4051e-06	4.5729	ENSIFENTRINE	False	inhibitor	ChEMBL	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	RONOMILAST	False	NULL	TdgClinicalTrial	0.7778914257139925
5142	PDE4B	2.4051e-06	4.5729	ROLIPRAM	False	NULL	TTD	0.2333674277141978
5142	PDE4B	2.4051e-06	4.5729	APREMILAST	True	NULL	TdgClinicalTrial	0.2333674277141978
5142	PDE4B	2.4051e-06	4.5729	RITODRINE	True	NULL	PharmGKB	0.7778914257139925
5142	PDE4B	2.4051e-06	4.5729	ENPROFYLLINE	False	NULL	TEND	1.166837138570988
5142	PDE4B	2.4051e-06	4.5729	GSK-356278	False	NULL	TTD	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	PENTOXIFYLLINE	True	NULL	TdgClinicalTrial	0.1000146118775133
5142	PDE4B	2.4051e-06	4.5729	GSK-256066	False	inhibitor	ChEMBL	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	ENSIFENTRINE	False	NULL	TdgClinicalTrial	0.3889457128569962
5142	PDE4B	2.4051e-06	4.5729	DYPHYLLINE	True	NULL	TdgClinicalTrial	0.5000730593875666
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TdgClinicalTrial	NULL
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TdgClinicalTrial	NULL
5142	PDE4B	2.4051e-06	4.5729	PAPAVERINE	True	NULL	TdgClinicalTrial	0.1555782851427985
5142	PDE4B	2.4051e-06	4.5729	PAPAVERINE	True	NULL	TEND	0.1555782851427985
5142	PDE4B	2.4051e-06	4.5729	REVAMILAST	False	NULL	TTD	0.4667348554283956
5142	PDE4B	2.4051e-06	4.5729	CHEMBL:CHEMBL535714	False	NULL	DTC	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	THEOPHYLLINE	True	inhibitor	ChEMBL	0.1296485709523321
5142	PDE4B	2.4051e-06	4.5729	ETAZOLATE	False	NULL	TdgClinicalTrial	0.072927321
5142	PDE4B	2.4051e-06	4.5729	CAFFEINE	True	NULL	TdgClinicalTrial	0.063072278
5142	PDE4B	2.4051e-06	4.5729	PICLAMILAST	False	NULL	TTD	0.2917092846427472
5142	PDE4B	2.4051e-06	4.5729	OGLEMILAST	False	inhibitor	ChEMBL	1.166837138570988
5142	PDE4B	2.4051e-06	4.5729	DYPHYLLINE	True	inhibitor	ChEMBL	0.5000730593875666
5142	PDE4B	2.4051e-06	4.5729	MK-0873	False	inhibitor	ChEMBL	0.5834185692854944
5142	PDE4B	2.4051e-06	4.5729	ROLIPRAM	False	inhibitor	ChEMBL	0.2333674277141978
5142	PDE4B	2.4051e-06	4.5729	IBUDILAST	False	NULL	TdgClinicalTrial	0.1458546423213736
5142	PDE4B	2.4051e-06	4.5729	PENTOXIFYLLINE	True	inhibitor	ChEMBL	0.1000146118775133
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TdgClinicalTrial	NULL
5142	PDE4B	2.4051e-06	4.5729	AMINOPHYLLINE	True	inhibitor	ChEMBL	0.1166837138570989
5142	PDE4B	2.4051e-06	4.5729	DEHYDRATED ALCOHOL	True	NULL	PharmGKB	0.029540181
5142	PDE4B	2.4051e-06	4.5729	REVAMILAST	False	inhibitor	ChEMBL	0.4667348554283956
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TdgClinicalTrial	NULL
5142	PDE4B	2.4051e-06	4.5729	NULL	False	NULL	TdgClinicalTrial	NULL
5142	PDE4B	2.4051e-06	4.5729	FLAVOXATE HYDROCHLORIDE	True	inhibitor	ChEMBL	0.1458546423213736
5142	PDE4B	2.4051e-06	4.5729	ENPROFYLLINE	False	NULL	TdgClinicalTrial	1.166837138570988
5142	PDE4B	2.4051e-06	4.5729	DYPHYLLINE	True	NULL	TEND	0.5000730593875666
5142	PDE4B	2.4051e-06	4.5729	THEOPHYLLINE	True	NULL	TEND	0.1296485709523321
777	CACNA1E	7.8726e-08	5.2436	GABAPENTIN ENACARBIL	True	modulator	ChEMBL	0.1944728564284981
777	CACNA1E	7.8726e-08	5.2436	SULOCTIDIL	True	blocker	ChEMBL	0.2019525816757481
777	CACNA1E	7.8726e-08	5.2436	PHLOROGLUCINOL	True	blocker	ChEMBL	0.2019525816757481
777	CACNA1E	7.8726e-08	5.2436	CELECOXIB	True	NULL	PharmGKB	0.1567393171214761
777	CACNA1E	7.8726e-08	5.2436	BEPRIDIL HYDROCHLORIDE	True	blocker	ChEMBL	0.2019525816757481
777	CACNA1E	7.8726e-08	5.2436	IMAGABALIN	False	modulator	ChEMBL	0.2019525816757481
777	CACNA1E	7.8726e-08	5.2436	ATAGABALIN	False	modulator	ChEMBL	0.2019525816757481
777	CACNA1E	7.8726e-08	5.2436	TERODILINE HYDROCHLORIDE	True	blocker	ChEMBL	0.1693795846312726
777	CACNA1E	7.8726e-08	5.2436	GABAPENTIN	True	modulator	ChEMBL	0.1312691780892362
777	CACNA1E	7.8726e-08	5.2436	NULL	False	NULL	PharmGKB	NULL
777	CACNA1E	7.8726e-08	5.2436	PREGABALIN	True	modulator	ChEMBL	0.2019525816757481
2104	ESRRG	1.8118e-09	5.9005	MNK1 INHIBITOR	False	inhibitor	GuideToPharmacology	2.917092846427472
2104	ESRRG	1.8118e-09	5.9005	DIETHYLSTILBESTROL	True	NULL	NCI	0.5303805175322677
2104	ESRRG	1.8118e-09	5.9005	DIETHYLSTILBESTROL	True	NULL	NCI	0.5303805175322677
2104	ESRRG	1.8118e-09	5.9005	TOMIVOSERTIB	False	inhibitor	GuideToPharmacology	2.187819634820604
2104	ESRRG	1.8118e-09	5.9005	AFIMOXIFENE	False	inhibitor	ChEMBL	0.6250913242344582
2104	ESRRG	1.8118e-09	5.9005	TINODASERTIB	False	inhibitor	GuideToPharmacology	4.375639269641208
2104	ESRRG	1.8118e-09	5.9005	DORSOMORPHIN	False	inhibitor	GuideToPharmacology	1.093909817410302
5664	PSEN2	4.2162e-11	6.4927	RG-4733	False	inhibitor	ChEMBL	0.7955707762984013
5664	PSEN2	4.2162e-11	6.4927	SEMAGACESTAT	False	inhibitor	ChEMBL	2.386712328895204
5664	PSEN2	4.2162e-11	6.4927	CHEMBL:CHEMBL247471	False	NULL	TdgClinicalTrial	0.7955707762984013
5664	PSEN2	4.2162e-11	6.4927	AVAGACESTAT	False	inhibitor	ChEMBL	1.193356164447602
5664	PSEN2	4.2162e-11	6.4927	NOTCH SIGNALING PATHWAY INHIBITOR MK0752	False	other/unknown	MyCancerGenome	0.4773424657790409
5664	PSEN2	4.2162e-11	6.4927	NIROGACESTAT	True	inhibitor	ChEMBL	0.3409589041278863
5664	PSEN2	4.2162e-11	6.4927	SEMAGACESTAT	False	NULL	DTC	2.386712328895204
5664	PSEN2	4.2162e-11	6.4927	CHEMBL:CHEMBL392068	False	NULL	DTC	2.386712328895204
5664	PSEN2	4.2162e-11	6.4927	BEGACESTAT	False	inhibitor	ChEMBL	0.596678082
5664	PSEN2	4.2162e-11	6.4927	GSI-136	False	NULL	TdgClinicalTrial	0.6819178082557726
5664	PSEN2	4.2162e-11	6.4927	IC261	False	NULL	DTC	1.363835616511545
5664	PSEN2	4.2162e-11	6.4927	TARENFLURBIL	False	NULL	TTD	0.7955707762984013
5664	PSEN2	4.2162e-11	6.4927	SEMAGACESTAT	False	NULL	TdgClinicalTrial	2.386712328895204
5664	PSEN2	4.2162e-11	6.4927	AVAGACESTAT	False	NULL	TdgClinicalTrial	1.193356164447602
5664	PSEN2	4.2162e-11	6.4927	TARENFLURBIL	False	modulator	ChEMBL	0.7955707762984013
64754	SMYD3	5.0208e-09	5.73	NULL	False	NULL	PharmGKB	NULL
