drug	n_gwas_target_genes	approved	genes
NULL	37	False	ADCY2,ASIC2,AURKB,BRD3,CACNA1C,CACNA1E,CACNG2,CD40,CNTN5,CTNNA2,DAGLA,DDR1,DRD2,ESR1,ESR2,EYS,FURIN,GRIA1,GRM5,HLA-B,HSPA5,KCNE1,MST1R,NCAM1,NRXN1,PBRM1,PDE4B,PRDX5,PTPRD,RBFOX1,SDK1,SERPING1,SLC25A20,SMYD3,TAOK3,TLR9,ZNF165
DEHYDRATED ALCOHOL	8	True	CACNA1C,CREB1,DRD2,GRM5,MED19,PDE4B,THSD7B,TMX2
ILORASERTIB	7	False	AURKB,CAMK1D,DRD2,ERBB4,MARK3,MST1R,NEK4
CENISERTIB	6	False	AURKB,DRD2,ERBB4,MARK3,MST1R,NEK4
NVP-TAE684	6	False	AURKB,CAMK1D,ERBB4,MARK3,MST1R,NEK4
LITHIUM	5	True	ADCY2,ASIC2,CACNG2,CREB1,DRD2
LAPATINIB	5	True	AURKB,ERBB4,ESR1,ESR2,HLA-B
SP-600125	5	False	AURKB,ERBB4,FES,MARK3,NEK4
DOVITINIB	5	False	AURKB,DRD2,MARK3,MST1R,NEK4
FLUOROURACIL	5	True	GNL3,HSPA5,KLC1,MEGF11,XRCC3
RG-1530	4	False	CAMK1D,DRD2,ERBB4,MST1R
VANDETANIB	4	True	AURKB,DRD2,EPHA7,ERBB4
DASATINIB ANHYDROUS	4	True	AURKB,ERBB4,ESR1,FES
CEDIRANIB	4	False	AURKB,DRD2,ERBB4,MST1R
LINIFANIB	4	False	AURKB,DRD2,FES,MST1R
PAZOPANIB	4	True	AURKB,DRD2,HLA-B,PBRM1
CLOZAPINE	4	True	DRD2,ELAVL2,HLA-B,ITIH3
HALOPERIDOL DECANOATE	4	True	ANKK1,CACNA1C,DRD2,GRIA1
ASPIRIN	3	True	CDH13,PDE4B,RAPGEF4
CAFFEINE	3	True	DAGLA,DRD2,PDE4B
GABAPENTIN ENACARBIL	3	True	CACNA1C,CACNA1E,CACNG2
SULOCTIDIL	3	True	CACNA1C,CACNA1E,CACNG2
PHLOROGLUCINOL	3	True	CACNA1C,CACNA1E,CACNG2
BEPRIDIL HYDROCHLORIDE	3	True	CACNA1C,CACNA1E,CACNG2
IMAGABALIN	3	False	CACNA1C,CACNA1E,CACNG2
ATAGABALIN	3	False	CACNA1C,CACNA1E,CACNG2
TERODILINE HYDROCHLORIDE	3	True	CACNA1C,CACNA1E,CACNG2
GABAPENTIN	3	True	CACNA1C,CACNA1E,CACNG2
PREGABALIN	3	True	CACNA1C,CACNA1E,CACNG2
DIETHYLSTILBESTROL	3	True	ESR1,ESR2,ESRRG
AFIMOXIFENE	3	False	ESR1,ESR2,ESRRG
CHEMBL:CHEMBL505670	3	False	FEN1,RAPGEF4,TLR9
PENTABROMOPHENOL	3	False	ESR1,FEN1,RAPGEF4
CITALOPRAM	3	True	CACNA1C,CREB1,METTL21A
ANTIDEPRESSANT AGENT	3	False	CTNNA3,FHIT,METTL21A
BARASERTIB-HQPA	3	False	AURKB,ERBB4,MST1R
NERATINIB	3	True	ERBB4,ESR1,ESR2
TAMATINIB	3	False	ERBB4,MARK3,NEK4
SURAMIN	3	False	APEH,DAGLA,FEN1
ADENOSINE TRIPHOSPHATE	3	True	APEH,ATP1A3,DAGLA
VALPROIC ACID	3	True	ANKK1,APEH,CACNA1C
CHEMBL:CHEMBL379975	3	False	AURKB,CAMK1D,MST1R
TOZASERTIB	3	False	AURKB,MARK3,MST1R
SOTRASTAURIN	3	False	CAMK1D,MARK3,MST1R
PALBOCICLIB	3	True	ESR1,ESR2,MST1R
ENTRECTINIB	3	True	AURKB,CAMK1D,MST1R
PF-562271	3	False	AURKB,MARK3,MST1R
JNJ-7706621	3	False	AURKB,MARK3,MST1R
FORETINIB	3	False	DRD2,MST1R,PTCH1
EVEROLIMUS	3	True	ESR1,ESR2,PBRM1
GW441756X	3	False	AURKB,MARK3,NEK4
CYC-116	3	False	AURKB,MARK3,NEK4
INTERFERON BETA-1A	3	True	FHIT,GAPVD1,HLA-B
PERPHENAZINE	3	True	CDH13,DRD2,MAML3
HESPERADIN	3	False	AURKB,EPHA7,FES
ANASTROZOLE	3	True	CSMD1,DLG2,ESR1
DOCETAXEL ANHYDROUS	3	True	ESR1,ESR2,XRCC3
HYDROCHLOROTHIAZIDE	3	True	CSMD1,DIAPH3,FTO
CA2+	3	False	DAGLA,MPPED2,MYRF
CP-547632	3	False	AURKB,DRD2,MARK3
SORAFENIB	3	True	AURKB,CDH13,DRD2
AMLEXANOX	2	True	FEN1,PDE4B
RESVERATROL	2	True	ESR1,PDE4B
CELECOXIB	2	True	CACNA1C,CACNA1E
TOMIVOSERTIB	2	False	ELAVL2,ESRRG
DORSOMORPHIN	2	False	DRD2,ESRRG
DULOXETINE HYDROCHLORIDE	2	True	NCAM1,NRXN1
NICOTINE POLACRILEX	2	True	CREB1,NRXN1
PAMAPIMOD	2	False	CTNNA2,CTNND1
HEXACHLOROPHENE	2	True	ESR1,RAPGEF4
AMINODIMETHOXYQUINAZOLINYLPIPERAZINE	2	False	FEN1,RAPGEF4
GW7647	2	False	ESR1,RAPGEF4
IDARUBICIN	2	True	FEN1,RAPGEF4
MYRICETIN	2	False	FEN1,RAPGEF4
CHEMBL:CHEMBL592124	2	False	FEN1,RAPGEF4
EUFLAVINE	2	False	FEN1,RAPGEF4
CLOSANTEL	2	False	FEN1,RAPGEF4
CHEMBL:CHEMBL600336	2	False	ESR2,RAPGEF4
DICHLOROPHEN	2	False	ESR1,RAPGEF4
PROCHLORPERAZINE	2	True	DRD2,RAPGEF4
CHEMBL:CHEMBL1576310	2	False	FEN1,RAPGEF4
CHEMBL:CHEMBL585591	2	False	FEN1,RAPGEF4
LANATOSIDE C	2	True	ATP1A3,RAPGEF4
ALISERTIB	2	False	AURKB,ERBB4
AEE788	2	False	DRD2,ERBB4
PALIPERIDONE	2	True	DRD2,ERBB4
ERLOTINIB	2	True	AURKB,ERBB4
BMS-690514	2	False	DRD2,ERBB4
TAK-715	2	False	CTNND1,ERBB4
CHEMBL:CHEMBL578061	2	False	ERBB4,MARK3
ZIPRASIDONE	2	True	CNTN4,DRD2
ARVERAPAMIL	2	False	CACNA1C,SLC25A20
NICARDIPINE	2	True	CACNA1C,SLC25A20
NISOLDIPINE	2	True	CACNA1C,SLC25A20
ELPETRIGINE	2	False	CACNA1C,SLC25A20
FELODIPINE	2	True	CACNA1C,SLC25A20
NIMODIPINE	2	True	CACNA1C,SLC25A20
ISRADIPINE	2	True	CACNA1C,SLC25A20
CLEVIDIPINE	2	True	CACNA1C,SLC25A20
GP-120 ANTIGEN	2	False	CD40,GPX1
QUINIDINE	2	True	KCNE1,RHOA
BZATP	2	False	APEH,ATP1A3
TRETINOIN	2	True	MST1,PTCH1
BMS-754807	2	False	AURKB,MST1R
GLESATINIB	2	False	DRD2,MST1R
MK-2461	2	False	DRD2,MST1R
ALSTERPAULLONE	2	False	MARK3,MST1R
PD-0166285	2	False	AURKB,MST1R
CHEMBL:CHEMBL429095	2	False	MBNL1,TLR9
