drug	n_mr_target_genes	approved	min_magma_p	min_mr_p	genes
SUNITINIB	2	True	1.45e-14	4.43e-28	DRD2,PBRM1
PAZOPANIB	2	True	1.45e-14	4.43e-28	DRD2,PBRM1
CABOZANTINIB S-MALATE	2	True	1.45e-14	4.43e-28	DRD2,PBRM1
CAFFEINE	2	True	1.45e-14	4.43e-28	DAGLA,DRD2
METHYLDOPA ANHYDROUS	2	True	1.45e-14	4.43e-28	DRD2,FEN1
DOPAMINE	2	True	1.45e-14	4.43e-28	DRD2,FEN1
LEVODOPA	2	True	1.45e-14	4.43e-28	DRD2,FEN1
REMOXIPRIDE	1	True	1.45e-14	4.43e-28	DRD2
AXITINIB	1	True	1.45e-14	4.43e-28	DRD2
CLOZAPINE	1	True	1.45e-14	4.43e-28	DRD2
SULPIRIDE	1	True	1.45e-14	4.43e-28	DRD2
DOMPERIDONE	1	True	1.45e-14	4.43e-28	DRD2
TIVOZANIB	1	True	1.45e-14	4.43e-28	DRD2
MINAPRINE	1	True	1.45e-14	4.43e-28	DRD2
METOCLOPRAMIDE HYDROCHLORIDE	1	True	1.45e-14	4.43e-28	DRD2
LOXAPINE	1	True	1.45e-14	4.43e-28	DRD2
ILOPERIDONE	2	True	1.45e-14	4.43e-28	CELF4,DRD2
FLUPHENAZINE ENANTHATE	1	True	1.45e-14	4.43e-28	DRD2
PERPHENAZINE	1	True	1.45e-14	4.43e-28	DRD2
EPHEDRINE	1	True	1.45e-14	4.43e-28	DRD2
METARAMINOL	1	True	1.45e-14	4.43e-28	DRD2
PERGOLIDE	1	True	1.45e-14	4.43e-28	DRD2
PROCHLORPERAZINE	1	True	1.45e-14	4.43e-28	DRD2
APOMORPHINE	1	True	1.45e-14	4.43e-28	DRD2
MESORIDAZINE	1	True	1.45e-14	4.43e-28	DRD2
QUETIAPINE FUMARATE	1	True	1.45e-14	4.43e-28	DRD2
HALOPERIDOL DECANOATE	1	True	1.45e-14	4.43e-28	DRD2
ASENAPINE	1	True	1.45e-14	4.43e-28	DRD2
FLUPHENAZINE HYDROCHLORIDE	1	True	1.45e-14	4.43e-28	DRD2
RISPERIDONE	1	True	1.45e-14	4.43e-28	DRD2
NAPHAZOLINE	1	True	1.45e-14	4.43e-28	DRD2
