gene	min_pvalue	min_pvalue_tissue	zscore	effect_size	n_tissues_tested	n_tissues_p_lt_5e6
DRD2	4.434875230613422e-28	Brain_Nucleus_accumbens_basal_ganglia	-10.98656442510107	-1.599737986098204	12	6
GPX1	3.0180338534530756e-19	Brain_Putamen_basal_ganglia	8.96805243020093	0.10189225420226235	13	13
KLHDC8B	9.678823091864947e-19	Brain_Spinal_cord_cervical_c-1	8.838758322985406	1.4008092149980031	13	4
SLC12A5	2.3750011397098087e-17	Brain_Caudate_basal_ganglia	8.473807334899904	0.29341987800814673	12	4
USP4	3.282010970442823e-17	Brain_Cerebellum	8.43606472015381	0.2186557600363559	12	7
AMT	4.380724082294664e-17	Brain_Putamen_basal_ganglia	-8.402231697308373	-0.04182155735835425	13	13
BSN-AS2	5.057987203247135e-17	Brain_Hippocampus	8.385338783264162	0.12584820044515865	11	2
BSN	5.05798720324721e-17	Brain_Cerebellum	-8.38533878326416	-1.003993970805335	2	2
NICN1	5.976982311642923e-17	Brain_Frontal_Cortex_BA9	8.365678787231445	0.25982726019897057	10	6
FURIN	8.389979733564225e-16	Brain_Hypothalamus	-8.048376083374025	-0.2561096858805752	5	3
NEGR1	9.200975736248087e-16	Brain_Hypothalamus	8.037073135375978	0.2600525516121615	7	4
DAG1	1.4319991805260854e-15	Brain_Substantia_nigra	7.982671260833741	1.9220858727711714	3	1
RHOA	1.610000221576633e-15	Brain_Hippocampus	7.968201637268067	2.266279500759064	11	6
UBA7	7.78200101306735e-15	Brain_Nucleus_accumbens_basal_ganglia	-7.771079540252687	-0.555037924885959	3	3
LRFN5	1.6509996062214015e-14	Brain_Cortex	7.6752471923828125	1.3333531556122462	10	9
CTD-2298J14.2	2.726995831701694e-14	Brain_Cortex	-7.610660076141358	-0.1248661698287275	7	2
FAM120A	7.419046012563007e-14	Brain_Anterior_cingulate_cortex_BA24	-7.4802338760378255	-0.8809897410848845	6	6
TRMT61A	7.935999098008905e-14	Brain_Frontal_Cortex_BA9	7.471376895904541	0.15884522638527288	10	2
ZDHHC5	1.301998502331697e-13	Brain_Hippocampus	-7.4059653282165545	-6.299200758839058	13	4
L3MBTL2	1.4720011610720965e-13	Brain_Anterior_cingulate_cortex_BA24	7.389664173126221	0.21333912812989694	5	2
CCDC36	1.5330011286089602e-13	Brain_Nucleus_accumbens_basal_ganglia	-7.384263038635255	-0.098702508386344	9	9
CTD-2334D19.1	1.7539981719550057e-13	Brain_Substantia_nigra	7.36632204055786	3.5009702312833726	1	1
CCDC71	1.9440034621269148e-13	Brain_Putamen_basal_ganglia	7.352591514587404	0.09258400750957121	12	12
CD40	1.985009705075766e-13	Brain_Hippocampus	-7.34980180242581	-0.06271974570064485	13	11
PRSS16	5.394049829922238e-13	Brain_Cerebellum	-7.21498354622833	-0.03742473431415755	9	6
QARS	8.859002554251708e-13	Brain_Cortex	-7.147162437438965	-2.292213157134434	2	2
ZNF197	9.53390273450063e-13	Brain_Nucleus_accumbens_basal_ganglia	-7.137073277335874	-0.060163342424622	10	9
RP6-109B7.4	1.6929999870851525e-12	Brain_Cerebellar_Hemisphere	-7.057684421539307	-0.3104126463682014	3	2
RAB27B	1.9049967499222036e-12	Brain_Caudate_basal_ganglia	7.041266918182374	0.7931330345995091	9	6
BAG5	2.7847510560361534e-12	Brain_Hypothalamus	6.98817993343492	0.07373020457719556	6	5
KLC1	3.1833821447797824e-12	Brain_Cerebellum	6.969381130715798	0.13908006910698115	7	5
GPR27	3.3110045665966965e-12	Brain_Hypothalamus	6.963848590850831	0.04605088465857847	13	12
CELF4	5.815714113604623e-12	Brain_Caudate_basal_ganglia	6.884092344537061	5.476585590717089	12	8
ZKSCAN7	6.525304904565184e-12	Brain_Cerebellum	-6.867682934532948	-0.06930822915267396	12	9
HIST1H1B	7.594008644940303e-12	Brain_Spinal_cord_cervical_c-1	-6.846006393432617	-53.80489020226751	1	1
BTN3A2	8.736307805891038e-12	Brain_Substantia_nigra	6.825920869214405	0.015552840137887838	13	11
TCTA	1.0212374051441235e-11	Brain_Hypothalamus	-6.803477085401932	-0.5419357669388176	13	6
CTA-14H9.5	1.4470016886321747e-11	Brain_Cerebellar_Hemisphere	6.7531189918518075	0.2241580788915444	3	3
HCG11	1.4470016886321898e-11	Brain_Cerebellar_Hemisphere	6.753118991851807	0.14969522906967023	5	4
PSEN2	1.5241162944455775e-11	Brain_Amygdala	6.745585045411691	0.07159306801238258	10	8
FCF1	1.8460017819077077e-11	Brain_Cortex	6.717711925506593	0.2842447243762052	7	2
AREL1	1.8460017819077406e-11	Brain_Cerebellum	-6.717711925506591	-0.10689338820189233	10	3
SLC25A17	2.242003447572748e-11	Brain_Frontal_Cortex_BA9	6.689326286315919	0.8341457262876641	12	8
PPP1R18	2.4789992671553522e-11	Brain_Spinal_cord_cervical_c-1	6.674604415893556	0.2509831542297556	2	1
PRR34	2.503001628728073e-11	Brain_Nucleus_accumbens_basal_ganglia	6.67319107055664	0.1841074579799121	7	2
RP1-86C11.7	3.006996822400209e-11	Brain_Hippocampus	-6.646227836608888	-407.8622664038652	7	4
FLRT1	3.9600009141476716e-11	Brain_Cerebellar_Hemisphere	-6.6055665016174325	-0.1555617749207883	10	1
NT5DC2	4.106758029546329e-11	Brain_Anterior_cingulate_cortex_BA24	6.600173888553116	0.15062495988403649	13	7
ZNF445	4.925999741488865e-11	Brain_Caudate_basal_ganglia	-6.573155403137206	-0.23443697344327807	3	2
HIST1H2BN	5.239991873254929e-11	Brain_Amygdala	6.563952445983887	0.2224185584449177	12	7
PGBD1	5.4350037704929684e-11	Brain_Caudate_basal_ganglia	-6.558504581451416	-0.15011203803916298	12	5
SMIM4	7.094405074376974e-11	Brain_Anterior_cingulate_cortex_BA24	-6.51864771808849	-0.5481557716480612	11	10
ZC3H7B	7.187556006784468e-11	Brain_Nucleus_accumbens_basal_ganglia	6.516690400811744	0.18264830584873504	13	12
